 Entgelttabelle Sozial- und Erziehungsdienst VKA ab 1. Mai 2026 (Monatsentgelt in Euro);;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
S 18;4.720,52;4.840,79;5.436,63;5.883,46;6.553,73;6.963,31
S 17;4.352,39;4.654,62;5.138,69;5.436,63;6.032,40;6.382,42
S 16;4.263,29;4.557,82;4.885,49;5.287,64;5.734,48;6.002,61
S 15;4.112,68;4.393,93;4.691,87;5.034,44;5.585,57;5.823,86
S 14;4.073,39;4.351,17;4.682,24;5.019,00;5.391,41;5.652,06
S 13;3.978,03;4.248,70;4.617,39;4.915,26;5.287,64;5.473,83
S 12;3.967,57;4.237,49;4.590,75;4.903,53;5.290,81;5.454,65
S 11b;3.915,12;4.181,19;4.368,13;4.844,78;5.217,14;5.440,57
S 11a;3.846,25;4.106,12;4.291,48;4.766,33;5.138,69;5.362,12
S 10;3.602,94;3.937,02;4.108,27;4.619,86;5.037,17;5.379,92
S 9;3.648,68;3.887,42;4.166,69;4.580,02;4.970,99;5.272,60
S 8b;3.578,87;3.812,64;4.091,94;4.503,48;4.892,59;5.190,90
S 8a;3.509,44;3.738,13;3.976,82;4.207,08;4.432,16;4.668,84
S 7;3.426,93;3.649,60;3.871,14;4.098,95;4.270,11;4.528,02
S 4;3.291,46;3.504,21;3.698,06;3.829,61;3.956,37;4.156,33
S 3;3.119,87;3.320,05;3.506,28;3.677,28;3.755,52;3.848,98
S 2;2.908,36;3.030,97;3.121,67;3.220,16;3.330,92;3.441,69

