Tarifabschluss 2023: TVöD Sozial- und Erziehungsdienst ab 1. März 2024 (Erhöhungsbeträge in Euro);;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
 S 18 ;432,42;438,34;467,68;489,68;522,68;542,84
 S 17 ;414,29;429,17;453,01;467,68;497,01;514,24
 S 16 ;409,91;424,41;440,54;460,34;482,34;495,54
 S 15 ;402,49;416,34;431,01;447,87;475,01;486,74
 S 14 ;400,56;414,23;430,53;447,11;465,45;478,28
 S 13 ;395,86;409,19;427,34;442,01;460,34;469,51
 S 12 ;395,35;408,64;426,03;441,43;460,5;468,56
 S 11b ;392,76;405,86;415,07;438,54;456,87;467,87
 S 11a ;389,32;402,17;411,29;434,67;453,01;464,01
 S 10 ;376,98;393,84;402,27;427,46;448,01;464,88
 S 9 ;375,76;387,61;401,47;421,73;440,89;455,58
 S 8b ;375,76;387,61;401,47;421,73;440,89;455,58
 S 8a ;372,24;383,84;395,8;407,14;418,22;429,87
 S 7 ;368,05;379,35;390,58;401,81;410,24;422,94
 S 4 ;361,18;371,97;381,8;388,48;394,79;404,64
 S 3 ;352,48;362,63;372,08;380,75;384,72;389,46
 S 2 ;341,76;347,97;352,57;357,57;363,19;368,8
