Tarifabschluss 2023: TVöD ab 1. März 2024 (Erhöhungsbeträge in Euro);;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
EG 15;486,94;505,7;526,63;555,21;584,6;603,93
EG 14;460,86;477,85;500,04;524,67;552,11;571,82
EG 13;441,31;459,93;481,13;504,14;531,23;545,92
EG 12;417,41;438,84;463,88;491,66;524,27;539,74
EG 11;410,22;429,93;448,44;468,54;496,03;511,5
EG 10;403,07;418,52;436,07;455,11;476,31;483,27
EG 9c;397,47;411,25;426,23;442,37;459,72;472,16
EG 9b;385,95;398,86;406,97;430,94;445,15;461,61
EG 9a;379,8;390,93;401,75;425,83;431,28;445,19
EG 8;371,07;381,77;389,17;396,57;404,5;408,31
EG 7;361,36;373,68;381,02;388,43;395,42;399,17
EG 6;358,59;368,73;375,84;382,88;389,79;393,31
EG 5;352,7;362,53;369,18;376,21;382,75;386,13
EG 4;346,11;356,06;364,41;369,61;374,81;377,86
EG 3;344,03;354,73;357,34;363,29;367,76;371,85
EG 2;340;345,15;347,78;351,53;359,77;368,39
EG 1;;340;340;340;340;340
