Tarifabschluss 2023: TV-L Erhöhung insgesamt 2023-2025 (in Euro);;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
EG 15; 486,95   ; 507,69   ; 518,65   ; 557,57   ; 587,04   ; 598,32   
EG 14; 460,85   ; 479,73   ; 495,22   ; 518,65   ; 554,54   ; 564,85   
EG 13; 441,36   ; 458,94   ; 472,17   ; 497,86   ; 533,38   ; 543,06   
EG 12; 418,62   ; 433,25   ; 464,23   ; 491,44   ; 526,58   ; 536,05   
EG 11; 411,90   ; 425,41   ; 440,81   ; 464,23   ; 498,24   ; 506,86   
EG 10; 404,80   ; 418,06   ; 433,25   ; 448,74   ; 478,22   ; 486,23   
EG 9b; 383,51   ; 396,30   ; 404,63   ; 427,65   ; 447,23   ; 454,32   
EG 9a; 383,51   ; 396,30   ; 399,08   ; 404,63   ; 427,65   ; 434,08   
EG 8; 373,06   ; 385,54   ; 392,48   ; 399,08   ; 406,37   ; 410,88   
EG 7; 363,48   ; 375,67   ; 384,85   ; 391,79   ; 397,34   ; 402,20   
EG 6; 360,91   ; 372,98   ; 379,71   ; 386,58   ; 391,09   ; 395,95   
EG 5; 355,04   ; 366,92   ; 373,65   ; 380,05   ; 385,19   ; 388,66   
EG 4; 348,54   ; 360,53   ; 368,94   ; 373,65   ; 378,37   ; 381,39   
EG 3; 346,78   ; 358,51   ; 361,87   ; 367,26   ; 371,63   ; 375,34   
EG 2; 340,00   ; 348,75   ; 352,11   ; 355,48   ; 363,22   ; 371,30   
EG 1;; 340,00   ; 340,00   ; 340,00   ; 340,00   ; 340,00   
