Tarifabschluss 2023: TV-L Erhöhung insgesamt 2023-2025 (in Prozent);;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
EG 15; 9,71   ; 9,41   ; 9,27   ; 8,85   ; 8,59   ; 8,50   
EG 14; 10,14   ; 9,82   ; 9,58   ; 9,27   ; 8,88   ; 8,78   
EG 13; 10,54   ; 10,18   ; 9,94   ; 9,55   ; 9,10   ; 8,99   
EG 12; 11,09   ; 10,72   ; 10,08   ; 9,64   ; 9,18   ; 9,07   
EG 11; 11,28   ; 10,91   ; 10,55   ; 10,08   ; 9,54   ; 9,42   
EG 10; 11,49   ; 11,10   ; 10,72   ; 10,38   ; 9,84   ; 9,72   
EG 9b; 12,23   ; 11,76   ; 11,49   ; 10,86   ; 10,41   ; 10,27   
EG 9a; 12,23   ; 11,76   ; 11,67   ; 11,49   ; 10,86   ; 10,70   
EG 8; 12,66   ; 12,15   ; 11,89   ; 11,67   ; 11,44   ; 11,31   
EG 7; 13,11   ; 12,55   ; 12,18   ; 11,92   ; 11,73   ; 11,57   
EG 6; 13,24   ; 12,66   ; 12,38   ; 12,11   ; 11,94   ; 11,77   
EG 5; 13,56   ; 12,94   ; 12,63   ; 12,36   ; 12,16   ; 12,03   
EG 4; 13,94   ; 13,26   ; 12,85   ; 12,63   ; 12,43   ; 12,31   
EG 3; 14,05   ; 13,37   ; 13,19   ; 12,93   ; 12,72   ; 12,56   
EG 2; 14,76   ; 13,92   ; 13,72   ; 13,53   ; 13,12   ; 12,74   
EG 1;; 16,23   ; 16,00   ; 15,73   ; 15,47   ; 14,85   
