Tarifabschluss 2023: TV-L ab 1. Februar 2025 (Monatsentgelt in Euro);;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
EG 15;5.504,26;5.902,04;6.112,24;6.858,84;7.424,19;7.640,58
EG 14;5.003,49;5.365,66;5.662,85;6.112,24;6.800,81;6.998,52
EG 13;4.629,74;4.967,01;5.220,71;5.713,58;6.394,91;6.580,44
EG 12;4.193,48;4.474,13;5.068,49;5.590,37;6.264,45;6.446,05
EG 11;4.064,54;4.323,79;4.619,10;5.068,49;5.720,84;5.886,14
EG 10;3.928,42;4.182,83;4.474,13;4.771,29;5.336,70;5.490,47
EG 9b;3.520,10;3.765,38;3.925,17;4.366,72;4.742,32;4.878,28
EG 9a;3.520,10;3.765,38;3.818,66;3.925,17;4.366,72;4.490,04
EG 8;3.319,52;3.559,02;3.692,14;3.818,66;3.958,47;4.045,01
EG 7;3.135,83;3.369,72;3.545,69;3.678,84;3.785,37;3.878,56
EG 6;3.086,57;3.318,08;3.447,20;3.578,99;3.665,52;3.758,72
EG 5;2.973,97;3.201,87;3.330,99;3.453,66;3.552,34;3.618,92
EG 4;2.849,24;3.079,22;3.240,61;3.330,99;3.421,39;3.479,47
EG 3;2.815,57;3.040,47;3.105,03;3.208,32;3.292,25;3.363,27
EG 2;2.642,84;2.853,24;2.917,80;2.982,36;3.130,84;3.285,81
EG 1;;2.434,49;2.465,06;2.501,78;2.538,51;2.630,30
