Tarifabschluss 2023: TV-L Sozial- und Erziehungsdienst Erhöhung insgesamt 2023-2025 (in Prozent);;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
S 18; 10,61   ; 10,46   ; 9,89   ; 9,55   ; 9,12   ; 8,90   
S 17; 11,12   ; 10,67   ; 10,16   ; 9,89   ; 9,44   ; 9,22   
S 16; 11,26   ; 10,78   ; 10,41   ; 10,02   ; 9,65   ; 9,46   
S 15; 11,48   ; 10,99   ; 10,62   ; 10,26   ; 9,77   ; 9,59   
S 14; 11,52   ; 11,05   ; 10,63   ; 10,27   ; 9,93   ; 9,72   
S 13; 11,62   ; 11,19   ; 10,71   ; 10,38   ; 10,02   ; 9,86   
S 12; 11,70   ; 11,21   ; 10,74   ; 10,39   ; 10,02   ; 9,88   
S 11b; 11,87   ; 11,29   ; 11,02   ; 10,45   ; 10,08   ; 9,89   
S 11a; 12,00   ; 11,40   ; 11,13   ; 10,54   ; 10,16   ; 9,96   
S 9; 14,62   ; 14,19   ; 13,49   ; 12,74   ; 12,17   ; 11,84   
S 8b; 12,50   ; 11,90   ; 11,42   ; 10,85   ; 10,40   ; 10,11   
S 8a; 12,60   ; 12,04   ; 11,61   ; 11,25   ; 10,94   ; 10,65   
S 7; 12,78   ; 12,22   ; 11,79   ; 11,41   ; 11,16   ; 10,82   
S 4; 13,19   ; 12,53   ; 12,12   ; 11,86   ; 11,64   ; 11,33   
S 3; 13,72   ; 12,97   ; 12,52   ; 12,16   ; 12,00   ; 11,83   
S 2; 14,05   ; 13,37   ; 13,19   ; 12,93   ; 12,72   ; 12,56   
