Tarifabschluss 2023: TV-L Sozial- und Erziehungsdienst ab 1. November 2024 (Monatsentgelt in Euro);;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
S 18;4.329,77;4.455,33;5.004,44;5.416,23;6.033,95;6.411,42
S 17;3.951,26;4.283,75;4.729,86;5.004,44;5.553,48;5.876,08
S 16;3.862,48;4.194,55;4.496,52;4.867,14;5.278,96;5.526,04
S 15;3.725,89;4.043,52;4.318,10;4.633,81;5.141,69;5.361,30
S 14;3.707,36;4.004,10;4.309,21;4.619,58;4.962,78;5.202,98
S 13;3.647,95;3.908,47;4.249,44;4.523,95;4.867,14;5.038,72
S 12;3.600,60;3.897,96;4.224,89;4.513,15;4.870,07;5.021,07
S 11b;3.512,44;3.845,37;4.019,73;4.458,98;4.802,18;5.008,08
S 11a;3.444,38;3.775,21;3.948,45;4.386,72;4.729,86;4.935,78
S 9;3.273,29;3.570,86;3.831,83;4.215,00;4.575,30;4.853,28
S 8b;3.212,84;3.499,02;3.761,97;4.144,47;4.503,05;4.777,98
S 8a;3.169,94;3.427,29;3.654,40;3.869,56;4.078,72;4.296,87
S 7;3.098,63;3.342,08;3.555,33;3.768,53;3.928,47;4.167,08
S 4;2.944,34;3.202,13;3.388,73;3.515,33;3.635,29;3.822,14
S 3;2.767,24;3.024,89;3.204,13;3.368,73;3.444,03;3.533,99
S 2;2.668,79;2.881,96;2.943,16;3.041,06;3.120,62;3.187,93
