TV-L S-Tabelle ab 1. April 2026;;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
S 18;4.695,81;4.831,98;5.427,51;5.874,12;6.544,06;6.953,44
S 17;4.285,30;4.645,90;5.129,72;5.427,51;6.022,97;6.372,84
S 16;4.189,02;4.549,16;4.876,66;5.278,61;5.725,24;5.993,21
S 15;4.040,87;4.385,36;4.683,16;5.025,55;5.576,37;5.814,54
S 14;4.020,78;4.342,61;4.673,51;5.010,12;5.382,33;5.642,84
S 13;3.956,35;4.238,90;4.608,69;4.906,41;5.278,61;5.464,69
S 12;3.904,99;4.227,50;4.582,06;4.894,69;5.281,78;5.445,55
S 11b;3.809,38;4.170,46;4.359,56;4.835,94;5.208,16;5.431,46
S 11a;3.735,57;4.094,37;4.282,25;4.757,57;5.129,72;5.353,05
S 9;3.553,32;3.872,74;4.155,77;4.571,34;4.962,09;5.263,58
S 8b;3.489,55;3.794,83;4.080,01;4.494,85;4.883,74;5.181,91
S 8a;3.444,29;3.717,03;3.963,34;4.196,70;4.423,54;4.660,13
S 7;3.369,05;3.625,89;3.855,89;4.087,12;4.260,59;4.519,37
S 4;3.206,28;3.478,25;3.675,21;3.812,51;3.942,62;4.145,27
S 3;3.019,44;3.291,26;3.480,36;3.654,01;3.735,19;3.832,75
S 2;2.915,57;3.140,47;3.205,03;3.308,32;3.392,25;3.463,27
