; Stufe 1 ; Stufe 2 ; Stufe 3 ; Stufe 4 ; Stufe 5 ; Stufe 6 
 EG 15 ;5017,31;5394,35;5593,59;6301,27;6837,15;7042,26
 EG 14 ;4542,64;4885,93;5167,63;5593,59;6246,27;6433,67
 EG 13 ;4188,38;4508,07;4748,54;5215,72;5861,53;6037,38
 EG 12 ;3774,86;4040,88;4604,26;5098,93;5737,87;5910
 EG 11 ;3652,64;3898,38;4178,29;4604,26;5222,6;5379,28
 EG 10 ;3523,62;3764,77;4040,88;4322,55;4858,48;5004,24
 EG 9b ;3136,59;3369,08;3520,54;3939,07;4295,09;4423,96
 EG 9a ;3136,59;3369,08;3419,58;3520,54;3939,07;4055,96
 EG 8 ;2946,46;3173,48;3299,66;3419,58;3552,1;3634,13
 EG 7 ;2772,35;2994,05;3160,84;3287,05;3388,03;3476,36
 EG 6 ;2725,66;2945,1;3067,49;3192,41;3274,43;3362,77
 EG 5 ;2618,93;2834,95;2957,34;3073,61;3167,15;3230,26
 EG 4 ;2500,7;2718,69;2871,67;2957,34;3043,02;3098,08
 EG 3 ;2468,79;2681,96;2743,16;2841,06;2920,62;2987,93
 EG 2 ;2302,84;2504,49;2565,69;2626,88;2767,62;2914,51
 EG 1 ;;2094,49;2125,06;2161,78;2198,51;2290,3
