Entgelttabelle TVöD-VKA ab 1. Mai 2026 (Monatsentgelt in Euro);;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
EG 15;5827,86;6208,96;6634,05;7214,39;7811,37;8204,11
EG 14;5298,27;5643,35;6094,01;6594,12;7151,57;7551,78
EG 13;4901,11;5279,32;5709,87;6177,31;6727,38;7025,87
EG 12;4415,7;4850,91;5359,5;5923,82;6586;6900,18
EG 11;4269,64;4669,92;5046,03;5454,1;6012,56;6326,77
EG 10;4124,53;4438,16;4794,69;5181,37;5611,95;5753,35
EG 9c;4010,72;4290,5;4594,76;4922,61;5275,05;5527,7
EG 9b;3779,84;4039,01;4203,56;4690,55;4979,11;5313,37
EG 9a;3658,61;3877,94;4097,67;4586,77;4697,43;4979,97
EG 8;3486,4;3697,29;3843,36;3992,4;4153,5;4230,97
EG 7;3294,98;3537,94;3682,69;3828,76;3969,05;4045,24
EG 6;3240,3;3440,25;3580,46;3719,22;3855,5;3926,2
EG 5;3124,08;3318,04;3449,05;3587,78;3716,7;3783,33
EG 4;2994,17;3190,45;3355,14;3457,66;3560,17;3620,2
EG 3;2953,13;3164,2;3215,57;3332,99;3421,1;3501,81
EG 2;2767,54;2975,32;3027,12;3101,04;3263,52;3433,49
EG 1;0;2534,55;2568,83;2611,69;2651,64;2754,5
